Customer ID,Age,Gender,Total amount spent in the last year,Number of purchases in the last year,Average order value,Time since last purchase (in days),Newsletter Subscription
CUST00001,53,Male,2368.63,47,290.36,269,Yes
CUST00002,69,Male,687.78,11,243.27,149,No
CUST00003,63,Non-binary,3435.17,44,358.16,364,No
CUST00004,34,Male,1669.33,6,212.16,76,Yes
CUST00005,66,Female,4314.89,30,124.03,88,Yes
CUST00006,37,Female,1370.29,49,182.84,169,Yes
CUST00007,24,Male,1497.67,17,492.55,4,No
CUST00008,21,Male,1526.4,27,44.49,28,Yes
CUST00009,65,Male,2094.39,24,341.16,333,Yes
CUST00010,51,Non-binary,333.75,39,150.57,101,Yes
CUST00011,39,Non-binary,3373.03,29,415.06,254,Yes
CUST00012,50,Female,3657,2,451.33,188,Yes
CUST00013,52,Female,2334.12,39,301.43,196,Yes
CUST00014,24,Female,2647.57,14,341.97,235,Yes
CUST00015,62,Non-binary,3017.64,20,259.54,163,No
CUST00016,62,Non-binary,4383.11,41,120.51,19,Yes
CUST00017,51,Non-binary,1254.47,8,119.4,34,Yes
CUST00018,35,Female,2799,23,224.69,143,Yes
CUST00019,30,Female,718.39,8,490.63,166,No
CUST00020,63,Non-binary,3571.64,39,372.46,22,No
CUST00021,63,Non-binary,1419.83,42,472.21,209,No
CUST00022,58,Female,940.45,48,88.06,96,Yes
CUST00023,53,Non-binary,2102.56,24,97.33,260,No
CUST00024,61,Non-binary,2648.76,10,274.06,163,No
CUST00025,42,Female,1169.97,50,405.67,18,Yes
CUST00026,64,Female,3094.7,32,176.65,357,Yes
CUST00027,24,Female,3293.6,18,494.52,209,Yes
CUST00028,67,Male,2982.72,32,137.41,245,Yes
CUST00029,56,Female,2744.84,13,260.01,163,Yes
CUST00030,48,Male,3524.32,46,56.64,91,No
CUST00031,52,Female,543.06,24,205.02,197,No
CUST00032,44,Female,437.08,27,207.99,163,Yes
CUST00033,23,Female,2059.73,34,293.03,232,No
CUST00034,39,Male,3216.16,18,421.68,117,Yes
CUST00035,28,Female,950.98,5,491.74,322,No
CUST00036,35,Female,1552.79,10,255.25,259,Yes
CUST00037,39,Non-binary,1465.25,35,324.67,292,No
CUST00038,23,Non-binary,3729.94,4,423.73,189,Yes
CUST00039,32,Non-binary,1761.8,33,423.36,257,Yes
CUST00040,26,Female,4665.35,32,37.33,262,Yes
CUST00041,36,Non-binary,3738.45,15,418.9,218,Yes
CUST00042,62,Non-binary,950.92,37,42.28,246,Yes
CUST00043,23,Non-binary,4232.99,42,169.57,318,No
CUST00044,56,Non-binary,139.07,2,11.26,349,Yes
CUST00045,45,Female,1818.15,2,434.79,176,Yes
CUST00046,42,Male,4495.57,2,230.38,114,Yes
CUST00047,60,Non-binary,2854.49,2,164.31,173,Yes
CUST00048,43,Non-binary,3638.93,7,256.16,260,Yes
CUST00049,39,Female,4619.77,22,389.76,44,No
CUST00050,26,Non-binary,2029.59,35,166.07,358,No
CUST00051,19,Female,2213.79,7,237.91,158,Yes
CUST00052,51,Non-binary,1652.21,41,299.41,225,No
CUST00053,49,Female,4247.96,49,416.02,174,Yes
CUST00054,69,Female,2638.53,35,266.18,314,Yes
CUST00055,66,Non-binary,1107.16,19,350.93,322,No
CUST00056,28,Non-binary,2695.28,38,216.86,236,No
CUST00057,66,Male,1402.92,22,404.66,253,No
CUST00058,36,Non-binary,4070.85,43,95.78,152,No
CUST00059,24,Female,600.74,17,312.4,187,Yes
CUST00060,38,Female,1147.76,28,260.09,180,No
CUST00061,27,Non-binary,4426.09,30,293.21,118,No
CUST00062,28,Male,3768.98,48,379.85,121,Yes
CUST00063,21,Male,4343.97,36,361.23,228,No
CUST00064,54,Non-binary,1080.91,1,40.08,199,No
CUST00065,47,Non-binary,4653.3,46,154.31,195,Yes
CUST00066,18,Female,2507.22,48,20.8,312,Yes
CUST00067,31,Non-binary,1958.65,41,24.11,66,No
CUST00068,19,Non-binary,3293.11,11,16.19,205,No
CUST00069,32,Female,1453.26,13,186.72,123,No
CUST00070,22,Non-binary,3962.38,16,356.58,298,Yes
CUST00071,60,Male,226.11,41,338.09,117,No
CUST00072,56,Female,3133.25,4,84.51,76,Yes
CUST00073,60,Female,2676.91,42,44.23,180,Yes
CUST00074,28,Male,1220.12,1,489.54,248,No
CUST00075,40,Female,1595.18,16,440.19,274,Yes
CUST00076,29,Female,2399.75,1,138.51,303,No
CUST00077,27,Female,4391.25,32,268.57,333,Yes
CUST00078,27,Non-binary,4523.17,14,139.3,32,Yes
CUST00079,44,Non-binary,4592.36,21,343.17,103,Yes
CUST00080,29,Male,1551.35,7,443.1,169,No
CUST00081,55,Male,4675.81,21,462.53,246,Yes
CUST00082,48,Female,3646.15,2,490.78,10,No
CUST00083,66,Female,3681.7,30,180.11,94,Yes
CUST00084,33,Male,2604.63,9,40.52,39,No
CUST00085,54,Non-binary,3844.12,21,236.02,247,No
CUST00086,47,Female,1149.15,6,26.98,142,Yes
CUST00087,38,Non-binary,3617.42,49,272.59,137,No
CUST00088,39,Female,1486.54,8,144.12,346,Yes
CUST00089,67,Female,4839.9,17,278.02,245,No
CUST00090,40,Non-binary,1287.34,23,325.79,89,No
CUST00091,44,Non-binary,2131.17,40,228.51,199,Yes
CUST00092,31,Female,963.06,8,241.54,225,Yes
CUST00093,55,Male,4136.79,5,421.65,357,Yes
CUST00094,66,Non-binary,1770.44,2,69.7,146,Yes
CUST00095,56,Female,902.62,48,421.37,230,No
CUST00096,35,Female,2992.01,32,309.87,225,Yes
CUST00097,21,Non-binary,196.89,40,74.35,294,No
CUST00098,60,Non-binary,1295.55,9,269.71,75,Yes
CUST00099,55,Male,1459.95,15,106.54,221,No
CUST00100,69,Male,628.81,29,487.43,178,Yes
CUST00101,63,Non-binary,3976.01,16,11.63,307,Yes
CUST00102,18,Male,179.66,42,183.82,89,Yes
CUST00103,67,Non-binary,4563.25,31,155.88,232,No
CUST00104,30,Female,2379.78,48,64.03,201,Yes
CUST00105,20,Non-binary,1722.07,35,44.69,279,No
CUST00106,44,Non-binary,1902.77,38,144.4,122,No
CUST00107,43,Non-binary,4058.35,25,204.62,13,No
CUST00108,32,Female,4235.18,21,455.04,358,Yes
CUST00109,30,Male,939.37,46,268.81,171,No
CUST00110,67,Male,4764.9,35,161.8,114,No
CUST00111,50,Male,3622.65,34,473.71,329,Yes
CUST00112,48,Non-binary,2177.17,24,481,4,No
